GroupContents,singleContents,CLCT_ITEM,CLCT_LSL,CLCT_USL,Unit,digit length,SingleMethodName,isUse(1/0),Audi Nor,Audi Mir,Pors Nor,Pors Mir,Mas Nor,Pors FL Nor,E_UP,Pors FL Mir,selfDiag1
CMC Test 2,Balance Load Short Cell 2 Check,WMPMTQ4016,0,20,mV,1,BalanceSwitchShort2,1,0,0,1,0,0,0,0,0,
CMC Test 2,Balance Load Short Cell 3 Check,WMPMTQ4017,0,20,mV,1,BalanceSwitchShort3,1,0,0,1,0,0,0,0,0,
CMC Test 2,Balance Load Short Cell 4 Check,WMPMTQ4018,0,20,mV,1,BalanceSwitchShort4,1,0,0,1,0,0,0,0,0,
CMC Test 2,Balance Load Short Cell 5 Check,WMPMTQ4019,0,20,mV,1,BalanceSwitchShort5,1,0,0,1,0,0,0,0,0,
CMC Test 2,Balance Load Short Cell 6 Check,WMPMTQ4020,0,20,mV,1,BalanceSwitchShort6,1,0,0,1,0,0,0,0,0,
CMC Test 2,Open Wire Detect Cell 1 Terminal Check,WMPMTQ4021,100,5000,mV,1,OpenWireDetect1,1,0,0,1,0,0,0,0,0,
CMC Test 2,Open Wire Detect Cell 2 Terminal Check,WMPMTQ4022,100,5000,mV,1,OpenWireDetect2,1,0,0,1,0,0,0,0,0,
CMC Test 2,Open Wire Detect Cell 3 Terminal Check,WMPMTQ4023,100,5000,mV,1,OpenWireDetect3,1,0,0,1,0,0,0,0,0,
CMC Test 2,Open Wire Detect Cell 4 Terminal Check,WMPMTQ4024,100,5000,mV,1,OpenWireDetect4,1,0,0,1,0,0,0,0,0,
CMC Test 2,Open Wire Detect Cell 5 Terminal Check,WMPMTQ4025,100,5000,mV,1,OpenWireDetect5,1,0,0,1,0,0,0,0,0,
CMC Test 2,Open Wire Detect Cell 6 Terminal Check,WMPMTQ4026,100,5000,mV,1,OpenWireDetect6,1,0,0,1,0,0,0,0,0,
CMC Test 2,Over Voltage Fault Check,WMPMTQ4027,0,0,,0,OverVoltFault,1,0,0,1,0,0,0,0,0,
CMC Test 2,Under Voltage Fault Check,WMPMTQ4028,0,0,,0,UnderVoltFault,1,0,0,1,0,0,0,0,0,
Normal Sleep,Normal Sleep,WMPMTQ4029,0,0,,0,NormalSleep,1,0,0,1,0,0,0,0,0,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Barcode Reading,Barcode Reading,,0,0,,0,BarcodeReading,1,0,0,0,1,0,0,0,0,
H/W Version,H/W Version,WMPMTQ4001,777676,777676,,0,HW_Version,1,0,0,0,1,0,0,0,0,
Module Temperature,Module Temperature #1,WMPMTQ4002,17,33,C,0,ThermistorCheck1,1,0,0,0,1,0,0,0,0,
Module Temperature,Module Temperature #2,WMPMTQ4003,17,33,C,0,ThermistorCheck2,1,0,0,0,1,0,0,0,0,
Module Temperature,Temperature Deviation,WMPMTQ4005,-4,4,C,0,ThermistorDeviation,1,0,0,0,1,0,0,0,0,
Module Temperature,PCB Temp,WMPMTQ4004,13,36,C,0,PCBTemp,1,0,0,0,1,0,0,0,0,
CMC Test 1,Cell #2/4/6 Balancing On Status Check,WMPMTQ4030,10101,10101,,0,CellEvenBalancingOn,1,0,0,0,1,0,0,0,0,
CMC Test 1,Cell #2/4/6 Balancing Off Status Check,WMPMTQ4031,0,0,,0,CellEvenBalancingOff,1,0,0,0,1,0,0,0,0,
CMC Test 1,Cell #1/3/5 Balancing On Status Check,WMPMTQ4032,101010,101010,,0,CellOddBalancingOn,1,0,0,0,1,0,0,0,0,
CMC Test 1,Cell #1/3/5 Balancing Off Status Check,WMPMTQ4033,0,0,,0,CellOddBalancingOff,1,0,0,0,1,0,0,0,0,
CMC Test 1,High contact resistance Cell 1 Check,WMPMTQ4034,30,77,mV,1,HighContactResist1,1,0,0,0,1,0,0,0,0,
CMC Test 1,High contact resistance Cell 2 Check,WMPMTQ4035,30,72,mV,1,HighContactResist2,1,0,0,0,1,0,0,0,0,
CMC Test 1,High contact resistance Cell 3 Check,WMPMTQ4036,30,69,mV,1,HighContactResist3,1,0,0,0,1,0,0,0,0,
CMC Test 1,High contact resistance Cell 4 Check,WMPMTQ4037,30,67,mV,1,HighContactResist4,1,0,0,0,1,0,0,0,0,
CMC Test 1,High contact resistance Cell 5 Check,WMPMTQ4038,30,67,mV,1,HighContactResist5,1,0,0,0,1,0,0,0,0,
CMC Test 1,High contact resistance Cell 6 Check,WMPMTQ4039,30,68,mV,1,HighContactResist6,1,0,0,0,1,0,0,0,0,
Voltages,Cell1 Voltage,WMPMTQ4006,3.545,3.595,V,4,CellVoltage1,1,0,0,0,1,0,0,0,0,
Voltages,Cell2 Voltage,WMPMTQ4007,3.545,3.595,V,4,CellVoltage2,1,0,0,0,1,0,0,0,0,
Voltages,Cell3 Voltage,WMPMTQ4008,3.545,3.595,V,4,CellVoltage3,1,0,0,0,1,0,0,0,0,
Voltages,Cell4 Voltage,WMPMTQ4009,3.545,3.595,V,4,CellVoltage4,1,0,0,0,1,0,0,0,0,
Voltages,Cell5 Voltage,WMPMTQ4010,3.545,3.595,V,4,CellVoltage5,1,0,0,0,1,0,0,0,0,
Voltages,Cell6 Voltage,WMPMTQ4011,3.545,3.595,V,4,CellVoltage6,1,0,0,0,1,0,0,0,0,
Voltages,Cell Voltage Deviation,WMPMTQ4012,0,15,mV,1,CellVoltageDeviation,1,0,0,0,1,0,0,0,0,
Voltages,Module Voltage,WMPMTQ4013,21.029,21.457,V,3,ModuleVoltage,1,0,0,0,1,0,0,0,0,
Voltages,Cell1 Voltage deviation(CMC-Input Cell average),WMPMTQ4041,-15,15,mV,1,CellVoltage1_dev,1,0,0,0,1,0,0,0,0,
Voltages,Cell2 Voltage deviation(CMC-Input Cell average),WMPMTQ4042,-15,15,mV,1,CellVoltage2_dev,1,0,0,0,1,0,0,0,0,
Voltages,Cell3 Voltage deviation(CMC-Input Cell average),WMPMTQ4043,-15,15,mV,1,CellVoltage3_dev,1,0,0,0,1,0,0,0,0,
Voltages,Cell4 Voltage deviation(CMC-Input Cell average),WMPMTQ4044,-15,15,mV,1,CellVoltage4_dev,1,0,0,0,1,0,0,0,0,
Voltages,Cell5 Voltage deviation(CMC-Input Cell average),WMPMTQ4045,-15,15,mV,1,CellVoltage5_dev,1,0,0,0,1,0,0,0,0,
Voltages,Cell6 Voltage deviation(CMC-Input Cell average),WMPMTQ4046,-15,15,mV,1,CellVoltage6_dev,1,0,0,0,1,0,0,0,0,
CMC Test 2,Balance Load Open Check,WMPMTQ4014,0,0,,0,BalanceSwitchOpen,1,0,0,0,1,0,0,0,0,
CMC Test 2,Balance Load Short Cell 1 Check,WMPMTQ4015,0,20,mV,1,BalanceSwitchShort1,1,0,0,0,1,0,0,0,0,
CMC Test 2,Balance Load Short Cell 2 Check,WMPMTQ4016,0,20,mV,1,BalanceSwitchShort2,1,0,0,0,1,0,0,0,0,
CMC Test 2,Balance Load Short Cell 3 Check,WMPMTQ4017,0,20,mV,1,BalanceSwitchShort3,1,0,0,0,1,0,0,0,0,
CMC Test 2,Balance Load Short Cell 4 Check,WMPMTQ4018,0,20,mV,1,BalanceSwitchShort4,1,0,0,0,1,0,0,0,0,
CMC Test 2,Balance Load Short Cell 5 Check,WMPMTQ4019,0,20,mV,1,BalanceSwitchShort5,1,0,0,0,1,0,0,0,0,
CMC Test 2,Balance Load Short Cell 6 Check,WMPMTQ4020,0,20,mV,1,BalanceSwitchShort6,1,0,0,0,1,0,0,0,0,
CMC Test 2,Open Wire Detect Cell 1 Terminal Check,WMPMTQ4021,100,5000,mV,1,OpenWireDetect1,1,0,0,0,1,0,0,0,0,
CMC Test 2,Open Wire Detect Cell 2 Terminal Check,WMPMTQ4022,100,5000,mV,1,OpenWireDetect2,1,0,0,0,1,0,0,0,0,
CMC Test 2,Open Wire Detect Cell 3 Terminal Check,WMPMTQ4023,100,5000,mV,1,OpenWireDetect3,1,0,0,0,1,0,0,0,0,
CMC Test 2,Open Wire Detect Cell 4 Terminal Check,WMPMTQ4024,100,5000,mV,1,OpenWireDetect4,1,0,0,0,1,0,0,0,0,
CMC Test 2,Open Wire Detect Cell 5 Terminal Check,WMPMTQ4025,100,5000,mV,1,OpenWireDetect5,1,0,0,0,1,0,0,0,0,
CMC Test 2,Open Wire Detect Cell 6 Terminal Check,WMPMTQ4026,100,5000,mV,1,OpenWireDetect6,1,0,0,0,1,0,0,0,0,
CMC Test 2,Over Voltage Fault Check,WMPMTQ4027,0,0,,0,OverVoltFault,1,0,0,0,1,0,0,0,0,
CMC Test 2,Under Voltage Fault Check,WMPMTQ4028,0,0,,0,UnderVoltFault,1,0,0,0,1,0,0,0,0,
Normal Sleep,Normal Sleep,WMPMTQ4029,0,0,,0,NormalSleep,1,0,0,0,1,0,0,0,0,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Barcode Reading,Barcode Reading,,0,0,,0,BarcodeReading,1,0,0,0,0,1,0,0,0,
H/W Version,H/W Version,WMPMTQ4101,767277,767277,,0,HW_Version,1,0,0,0,0,1,0,0,0,
Module Temperature,Module Temperature #1,WMPMTQ4102,17,33,C,0,ThermistorCheck1,1,0,0,0,0,1,0,0,0,
Module Temperature,Module Temperature #2,WMPMTQ4103,17,33,C,0,ThermistorCheck2,1,0,0,0,0,1,0,0,0,
Module Temperature,Temperature Deviation,WMPMTQ4105,-2,2,C,0,ThermistorDeviation,1,0,0,0,0,1,0,0,0,
Module Temperature,PCB Temp,WMPMTQ4104,13,36,C,0,PCBTemp,1,0,0,0,0,1,0,0,0,
CMC Test 1,Cell #2/4/6 Balancing On Status Check,WMPMTQ4106,10101,10101,,0,CellEvenBalancingOn,1,0,0,0,0,1,0,0,0,
CMC Test 1,Cell #2/4/6 Balancing Off Status Check,WMPMTQ4107,0,0,,0,CellEvenBalancingOff,1,0,0,0,0,1,0,0,0,
CMC Test 1,Cell #1/3/5 Balancing On Status Check,WMPMTQ4108,101010,101010,,0,CellOddBalancingOn,1,0,0,0,0,1,0,0,0,
CMC Test 1,Cell #1/3/5 Balancing Off Status Check,WMPMTQ4109,0,0,,0,CellOddBalancingOff,1,0,0,0,0,1,0,0,0,
CMC Test 1,High contact resistance Cell 1 Check,WMPMTQ4110,30,77,mV,1,HighContactResist1,1,0,0,0,0,1,0,0,0,
CMC Test 1,High contact resistance Cell 2 Check,WMPMTQ4111,30,72,mV,1,HighContactResist2,1,0,0,0,0,1,0,0,0,
CMC Test 1,High contact resistance Cell 3 Check,WMPMTQ4112,30,69,mV,1,HighContactResist3,1,0,0,0,0,1,0,0,0,
CMC Test 1,High contact resistance Cell 4 Check,WMPMTQ4113,30,67,mV,1,HighContactResist4,1,0,0,0,0,1,0,0,0,
CMC Test 1,High contact resistance Cell 5 Check,WMPMTQ4114,30,67,mV,1,HighContactResist5,1,0,0,0,0,1,0,0,0,
CMC Test 1,High contact resistance Cell 6 Check,WMPMTQ4115,30,68,mV,1,HighContactResist6,1,0,0,0,0,1,0,0,0,
Voltages,Cell1 Voltage,WMPMTQ4116,3.545,3.595,V,4,CellVoltage1,1,0,0,0,0,1,0,0,0,
Voltages,Cell2 Voltage,WMPMTQ4117,3.545,3.595,V,4,CellVoltage2,1,0,0,0,0,1,0,0,0,
Voltages,Cell3 Voltage,WMPMTQ4118,3.545,3.595,V,4,CellVoltage3,1,0,0,0,0,1,0,0,0,
Voltages,Cell4 Voltage,WMPMTQ4119,3.545,3.595,V,4,CellVoltage4,1,0,0,0,0,1,0,0,0,
Voltages,Cell5 Voltage,WMPMTQ4120,3.545,3.595,V,4,CellVoltage5,1,0,0,0,0,1,0,0,0,
Voltages,Cell6 Voltage,WMPMTQ4121,3.545,3.595,V,4,CellVoltage6,1,0,0,0,0,1,0,0,0,
Voltages,Cell Voltage Deviation,WMPMTQ4122,0,15,mV,1,CellVoltageDeviation,1,0,0,0,0,1,0,0,0,
Voltages,Module Voltage,WMPMTQ4123,21.029,21.547,V,3,ModuleVoltage,1,0,0,0,0,1,0,0,0,
Voltages,Cell1 Voltage deviation(CMC-Input Cell average),WMPMTQ4124,-15,15,mV,1,CellVoltage1_dev,1,0,0,0,0,1,0,0,0,
Voltages,Cell2 Voltage deviation(CMC-Input Cell average),WMPMTQ4125,-15,15,mV,1,CellVoltage2_dev,1,0,0,0,0,1,0,0,0,
Voltages,Cell3 Voltage deviation(CMC-Input Cell average),WMPMTQ4126,-15,15,mV,1,CellVoltage3_dev,1,0,0,0,0,1,0,0,0,
Voltages,Cell4 Voltage deviation(CMC-Input Cell average),WMPMTQ4127,-15,15,mV,1,CellVoltage4_dev,1,0,0,0,0,1,0,0,0,
Voltages,Cell5 Voltage deviation(CMC-Input Cell average),WMPMTQ4128,-15,15,mV,1,CellVoltage5_dev,1,0,0,0,0,1,0,0,0,
Voltages,Cell6 Voltage deviation(CMC-Input Cell average),WMPMTQ4129,-15,15,mV,1,CellVoltage6_dev,1,0,0,0,0,1,0,0,0,
CMC Test 2,Balance Load Open Check,WMPMTQ4130,0,0,,0,BalanceSwitchOpen,1,0,0,0,0,1,0,0,0,
CMC Test 2,Balance Load Short Cell 1 Check,WMPMTQ4131,0,20,,1,BalanceSwitchShort1,1,0,0,0,0,1,0,0,0,
CMC Test 2,Balance Load Short Cell 2 Check,WMPMTQ4132,0,20,,1,BalanceSwitchShort2,1,0,0,0,0,1,0,0,0,
CMC Test 2,Balance Load Short Cell 3 Check,WMPMTQ4133,0,20,,1,BalanceSwitchShort3,1,0,0,0,0,1,0,0,0,
CMC Test 2,Balance Load Short Cell 4 Check,WMPMTQ4134,0,20,,1,BalanceSwitchShort4,1,0,0,0,0,1,0,0,0,
CMC Test 2,Balance Load Short Cell 5 Check,WMPMTQ4135,0,20,,1,BalanceSwitchShort5,1,0,0,0,0,1,0,0,0,
CMC Test 2,Balance Load Short Cell 6 Check,WMPMTQ4136,0,20,,1,BalanceSwitchShort6,1,0,0,0,0,1,0,0,0,
CMC Test 2,Open Wire Detect Cell 1 Terminal Check,WMPMTQ4137,100,5000,,1,OpenWireDetect1,1,0,0,0,0,1,0,0,0,
CMC Test 2,Open Wire Detect Cell 2 Terminal Check,WMPMTQ4138,100,5000,,1,OpenWireDetect2,1,0,0,0,0,1,0,0,0,
CMC Test 2,Open Wire Detect Cell 3 Terminal Check,WMPMTQ4139,100,5000,,1,OpenWireDetect3,1,0,0,0,0,1,0,0,0,
CMC Test 2,Open Wire Detect Cell 4 Terminal Check,WMPMTQ4140,100,5000,,1,OpenWireDetect4,1,0,0,0,0,1,0,0,0,
CMC Test 2,Open Wire Detect Cell 5 Terminal Check,WMPMTQ4141,100,5000,,1,OpenWireDetect5,1,0,0,0,0,1,0,0,0,
CMC Test 2,Open Wire Detect Cell 6 Terminal Check,WMPMTQ4142,100,5000,,1,OpenWireDetect6,1,0,0,0,0,1,0,0,0,
CMC Test 2,Over Voltage Fault Check,WMPMTQ4143,0,0,,0,OverVoltFault,1,0,0,0,0,1,0,0,0,
CMC Test 2,Under Voltage Fault Check,WMPMTQ4144,0,0,,0,UnderVoltFault,1,0,0,0,0,1,0,0,0,
Normal Sleep,Normal Sleep,WMPMTQ4145,0,0,,0,NormalSleep,1,0,0,0,0,1,0,0,0,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Barcode Reading,Barcode Reading,,0,0,,0,BarcodeReading,1,0,0,0,0,0,1,0,0,
H/W Version,H/W Version,WPFMMTQ4001,767676,767676,,0,HW_Version,1,0,0,0,0,0,1,0,0,
Module Temperature,Module Temperature #1,WPFMMTQ4002,17,36,C,0,ThermistorCheck1,1,0,0,0,0,0,1,0,0,
Module Temperature,Module Temperature #2,WPFMMTQ4003,17,36,C,0,ThermistorCheck2,1,0,0,0,0,0,1,0,0,
Module Temperature,Module Temperature #3,WPFMMTQ4004,17,36,C,0,ThermistorCheck3,0,0,0,0,0,0,1,0,0,
Module Temperature,Temperature Deviation,WPFMMTQ4005,-3,3,C,0,ThermistorDeviation,1,0,0,0,0,0,1,0,0,
Module Temperature,PCB Temp,WPFMMTQ4006,13,36,C,0,PCBTemp,1,0,0,0,0,0,1,0,0,
CMC Test 1,Cell #2/4/6 Balancing On Status Check,WPFMMTQ4007,10101,10101,,0,CellEvenBalancingOn,1,0,0,0,0,0,1,0,0,
CMC Test 1,Cell #2/4/6 Balancing Off Status Check,WPFMMTQ4008,0,0,,0,CellEvenBalancingOff,1,0,0,0,0,0,1,0,0,
CMC Test 1,Cell #1/3/5 Balancing On Status Check,WPFMMTQ4009,101010,101010,,0,CellOddBalancingOn,1,0,0,0,0,0,1,0,0,
CMC Test 1,Cell #1/3/5 Balancing Off Status Check,WPFMMTQ4010,0,0,,0,CellOddBalancingOff,1,0,0,0,0,0,1,0,0,
CMC Test 1,High contact resistance Cell 1 Check,WPFMMTQ4011,30,119,mV,1,HighContactResist1,1,0,0,0,0,0,1,0,0,
CMC Test 1,High contact resistance Cell 2 Check,WPFMMTQ4012,30,113,mV,1,HighContactResist2,1,0,0,0,0,0,1,0,0,
CMC Test 1,High contact resistance Cell 3 Check,WPFMMTQ4013,30,105,mV,1,HighContactResist3,1,0,0,0,0,0,1,0,0,
CMC Test 1,High contact resistance Cell 4 Check,WPFMMTQ4014,30,105,mV,1,HighContactResist4,1,0,0,0,0,0,1,0,0,
CMC Test 1,High contact resistance Cell 5 Check,WPFMMTQ4015,30,98,mV,1,HighContactResist5,1,0,0,0,0,0,1,0,0,
CMC Test 1,High contact resistance Cell 6 Check,WPFMMTQ4016,30,99,mV,1,HighContactResist6,1,0,0,0,0,0,1,0,0,
Voltages,Cell1 Voltage,WPFMMTQ4017,3.581,3.627,V,4,CellVoltage1,1,0,0,0,0,0,1,0,0,
Voltages,Cell2 Voltage,WPFMMTQ4018,3.581,3.627,V,4,CellVoltage2,1,0,0,0,0,0,1,0,0,
Voltages,Cell3 Voltage,WPFMMTQ4019,3.581,3.627,V,4,CellVoltage3,1,0,0,0,0,0,1,0,0,
Voltages,Cell4 Voltage,WPFMMTQ4020,3.581,3.627,V,4,CellVoltage4,1,0,0,0,0,0,1,0,0,
Voltages,Cell5 Voltage,WPFMMTQ4021,3.581,3.627,V,4,CellVoltage5,1,0,0,0,0,0,1,0,0,
Voltages,Cell6 Voltage,WPFMMTQ4022,3.581,3.627,V,4,CellVoltage6,1,0,0,0,0,0,1,0,0,
Voltages,Cell Voltage Deviation,WPFMMTQ4023,0,15,mV,1,CellVoltageDeviation,1,0,0,0,0,0,1,0,0,
Voltages,Module Voltage,WPFMMTQ4024,21.244,21.74,V,3,ModuleVoltage,1,0,0,0,0,0,1,0,0,
Voltages,Cell1 Voltage deviation(CMC-Input Cell average),WPFMMTQ4025,-15,15,mV,1,CellVoltage1_dev,1,0,0,0,0,0,1,0,0,
Voltages,Cell2 Voltage deviation(CMC-Input Cell average),WPFMMTQ4026,-15,15,mV,1,CellVoltage2_dev,1,0,0,0,0,0,1,0,0,
Voltages,Cell3 Voltage deviation(CMC-Input Cell average),WPFMMTQ4027,-15,15,mV,1,CellVoltage3_dev,1,0,0,0,0,0,1,0,0,
Voltages,Cell4 Voltage deviation(CMC-Input Cell average),WPFMMTQ4028,-15,15,mV,1,CellVoltage4_dev,1,0,0,0,0,0,1,0,0,
Voltages,Cell5 Voltage deviation(CMC-Input Cell average),WPFMMTQ4029,-15,15,mV,1,CellVoltage5_dev,1,0,0,0,0,0,1,0,0,
Voltages,Cell6 Voltage deviation(CMC-Input Cell average),WPFMMTQ4030,-15,15,mV,1,CellVoltage6_dev,1,0,0,0,0,0,1,0,0,
CMC Test 2,Balance Load Open Check,WPFMMTQ4031,0,0,,0,BalanceSwitchOpen,1,0,0,0,0,0,1,0,0,
CMC Test 2,Balance Load Short Cell 1 Check,WPFMMTQ4032,0,20,,1,BalanceSwitchShort1,1,0,0,0,0,0,1,0,0,
CMC Test 2,Balance Load Short Cell 2 Check,WPFMMTQ4033,0,20,,1,BalanceSwitchShort2,1,0,0,0,0,0,1,0,0,
CMC Test 2,Balance Load Short Cell 3 Check,WPFMMTQ4034,0,20,,1,BalanceSwitchShort3,1,0,0,0,0,0,1,0,0,
CMC Test 2,Balance Load Short Cell 4 Check,WPFMMTQ4035,0,20,,1,BalanceSwitchShort4,1,0,0,0,0,0,1,0,0,
CMC Test 2,Balance Load Short Cell 5 Check,WPFMMTQ4036,0,20,,1,BalanceSwitchShort5,1,0,0,0,0,0,1,0,0,
CMC Test 2,Balance Load Short Cell 6 Check,WPFMMTQ4037,0,20,,1,BalanceSwitchShort6,1,0,0,0,0,0,1,0,0,
CMC Test 2,Open Wire Detect Cell 1 Terminal Check,WPFMMTQ4038,100,5000,,1,OpenWireDetect1,1,0,0,0,0,0,1,0,0,
